Store,Items,Amount,Category
Verizon,payment bill,868.81,Bills & Utilities
Nike,clothes electronics #7380,272.26,Shopping
Walmart,dairy groceries,29.39,Groceries
CVS,doctor prescription #9580,253.12,Healthcare
AMC Theaters,music game #6665,27.23,Entertainment
Safeway,food meat,145.35,Groceries
Local Clinic,doctor prescription,87.48,Healthcare
Miscellaneous,general payment misc #2874,424.14,Others
H&M,electronics shoes,283.92,Shopping
Pizza Hut,meal dinner delivery,484.45,Food & Dining
Subway,meal #1663,58.33,Food & Dining
Walmart,produce food bread,128.47,Groceries
Kroger,bread dairy,136.15,Groceries
McDonalds,dinner,518.85,Food & Dining
Whole Foods,food,37.08,Groceries
Xbox,game,12.18,Entertainment
Shell,gas,11.61,Transportation
Subway,restaurant,376.87,Food & Dining
Nike,shoes,33.33,Shopping
Verizon,bill,99.16,Bills & Utilities
Various Services,misc other,728.59,Others
Unknown Vendor,other misc payment,318.13,Others
Local Clinic,doctor,49.54,Healthcare
Walmart,bread produce #9614,110.72,Groceries
Lyft,ride,19.6,Transportation
Unknown Vendor,other payment misc,798.54,Others
Subway,delivery lunch dinner #5198,197.8,Food & Dining
Miscellaneous,other,667.26,Others
Walgreens,medical medicine prescription,361.88,Healthcare
Spotify,streaming game,27.38,Entertainment
Spotify,movie game entertainment #4856,14.73,Entertainment
Amazon,shoes,134.36,Shopping
McDonalds,restaurant lunch meal,801.71,Food & Dining
Various Services,misc service general,619.72,Others
Walmart,produce bread,79.86,Groceries
CVS,health prescription medical,217.06,Healthcare
Verizon,bill utility monthly,496.15,Bills & Utilities
Unknown Vendor,service,821.28,Others
Xbox,movie streaming entertainment,26.59,Entertainment
Lyft,ride #4548,60.92,Transportation
Whole Foods,produce #1643,66.92,Groceries
Walmart,meat groceries dairy #8925,94.54,Groceries
Verizon,bill utility service #1364,668.84,Bills & Utilities
Netflix,game movie streaming #3786,47.5,Entertainment
Best Buy,electronics,146.78,Shopping
Netflix,game,17.64,Entertainment
Safeway,groceries dairy,128.42,Groceries
Steam,streaming entertainment music,36.33,Entertainment
Miscellaneous,other,147.31,Others
Metro,transportation transit fuel,40.35,Transportation
Spotify,music,48.92,Entertainment
Walmart,bread dairy meat,171.58,Groceries
Kroger,bread produce,102.46,Groceries
Unknown Vendor,service,660.6,Others
Water Service,monthly utility payment #7127,663.34,Bills & Utilities
Electric Company,utility payment,636.59,Bills & Utilities
Walgreens,health doctor prescription,228.56,Healthcare
Walgreens,doctor health #6203,48.81,Healthcare
Metro,transportation fuel,9.71,Transportation
Whole Foods,groceries produce dairy #9188,82.92,Groceries
Pizza Hut,restaurant delivery takeout,572.15,Food & Dining
Unknown Vendor,payment other misc #9590,553.65,Others
Netflix,entertainment streaming #8552,14.26,Entertainment
H&M,purchase electronics accessories,101.7,Shopping
Amazon,electronics clothes #8019,294.95,Shopping
Walgreens,medical prescription medicine,354.72,Healthcare
Water Service,bill utility service,66.92,Bills & Utilities
Netflix,entertainment music,34.41,Entertainment
Uber,fuel transportation #2752,78.89,Transportation
Amazon,accessories purchase clothes,152.25,Shopping
Various Services,service misc,546.72,Others
McDonalds,restaurant lunch,412.36,Food & Dining
Unknown Vendor,other,577.69,Others
Uber,fuel transportation,14.94,Transportation
Subway,delivery meal lunch,437.42,Food & Dining
Local Restaurant,meal takeout #9003,251.67,Food & Dining
Water Service,bill service utility,612.05,Bills & Utilities
Spotify,entertainment movie #5975,30.91,Entertainment
Nike,electronics accessories clothes #3516,126.65,Shopping
Walmart,food dairy bread #6529,125.74,Groceries
Lyft,ride,63.95,Transportation
AT&T,service utility,285.95,Bills & Utilities
Safeway,bread groceries dairy #7568,116.27,Groceries
Amazon,shoes,295.49,Shopping
Xbox,entertainment streaming music,37.69,Entertainment
Electric Company,payment utility,489.43,Bills & Utilities
Miscellaneous,service general payment #4156,765.18,Others
CVS,doctor medical health #6762,93.38,Healthcare
Quest Diagnostics,medical prescription health,278.19,Healthcare
Walgreens,medical,304.58,Healthcare
Shell,transportation,40.54,Transportation
Whole Foods,groceries,35.24,Groceries
Unknown Vendor,other,368.17,Others
Miscellaneous,payment,187.96,Others
Netflix,music streaming movie,26.81,Entertainment
Walgreens,medical,261.31,Healthcare
Various Services,misc payment general #7545,824.96,Others
Local Clinic,medical prescription health #6736,312.5,Healthcare
Various Services,misc service,92.58,Others
Walgreens,prescription health #6698,99.03,Healthcare
Kroger,dairy,54.05,Groceries
Best Buy,shoes purchase clothes #7738,107.02,Shopping
Unknown Vendor,misc other,66.79,Others
Metro,ride taxi,24.79,Transportation
Electric Company,payment service utility,356.0,Bills & Utilities
Various Services,other general,533.81,Others
Unknown Vendor,service,304.23,Others
Safeway,meat,21.98,Groceries
Kroger,dairy groceries #6061,172.12,Groceries
Target,clothes purchase electronics,222.19,Shopping
Netflix,movie music,48.74,Entertainment
Trader Joes,meat,86.41,Groceries
Lyft,taxi gas fuel,54.23,Transportation
H&M,purchase accessories electronics,235.95,Shopping
H&M,shoes purchase,215.29,Shopping
AMC Theaters,entertainment game movie,27.65,Entertainment
Kroger,dairy,183.35,Groceries
AMC Theaters,streaming,48.44,Entertainment
H&M,purchase clothes,159.52,Shopping
Various Services,general #8968,188.16,Others
Electric Company,service monthly payment #4919,916.27,Bills & Utilities
Amazon,shoes clothes accessories,156.96,Shopping
Metro,fuel taxi,61.1,Transportation
Chipotle,dinner #8146,758.15,Food & Dining
Various Services,service,157.39,Others
Trader Joes,food #3140,110.71,Groceries
Water Service,monthly utility,335.87,Bills & Utilities
Chipotle,lunch takeout,237.97,Food & Dining
Pizza Hut,lunch delivery,535.36,Food & Dining
Pizza Hut,dinner,729.42,Food & Dining
Best Buy,electronics accessories #6245,207.72,Shopping
Safeway,produce,111.25,Groceries
Various Services,general misc,614.23,Others
Various Services,other,879.13,Others
Target,accessories clothes electronics,24.51,Shopping
Metro,transit fuel transportation #4781,78.93,Transportation
Shell,fuel gas taxi,23.6,Transportation
Miscellaneous,general service #2493,150.56,Others
Subway,lunch dinner #7905,753.73,Food & Dining
Unknown Vendor,general,766.38,Others
Electric Company,utility payment bill,619.12,Bills & Utilities
Walgreens,health doctor #3988,227.17,Healthcare
Unknown Vendor,other #9045,986.81,Others
H&M,purchase clothes shoes,118.14,Shopping
Best Buy,accessories purchase,22.46,Shopping
Safeway,bread dairy,114.29,Groceries
Steam,streaming,48.73,Entertainment
Uber,transit transportation ride,70.76,Transportation
Subway,takeout restaurant delivery,489.57,Food & Dining
AMC Theaters,game #4884,27.35,Entertainment
Kroger,food groceries meat,148.77,Groceries
Spotify,streaming game music #7529,15.36,Entertainment
H&M,electronics shoes accessories,58.84,Shopping
Subway,dinner,693.71,Food & Dining
Local Clinic,prescription,33.52,Healthcare
Verizon,utility #3026,114.65,Bills & Utilities
Amazon,clothes accessories purchase,105.28,Shopping
Electric Company,service monthly payment,872.19,Bills & Utilities
McDonalds,dinner takeout,848.57,Food & Dining
AT&T,utility monthly,245.05,Bills & Utilities
Lyft,taxi transit ride #9143,77.74,Transportation
Steam,game entertainment #6684,22.32,Entertainment
Whole Foods,bread produce food,36.06,Groceries
Amazon,accessories,63.0,Shopping
CVS,prescription health,359.78,Healthcare
Various Services,payment service,245.23,Others
Miscellaneous,service,71.01,Others
Lyft,fuel ride,6.67,Transportation
Chipotle,delivery dinner meal,837.2,Food & Dining
Whole Foods,meat bread,104.66,Groceries
Kroger,produce groceries #6094,157.37,Groceries
Best Buy,clothes purchase,47.31,Shopping
Miscellaneous,other #6321,926.18,Others
Metro,taxi transportation gas,39.83,Transportation
Local Clinic,prescription,40.03,Healthcare
Nike,shoes electronics accessories,82.01,Shopping
Unknown Vendor,service misc payment #4857,251.39,Others
Electric Company,service bill,814.55,Bills & Utilities
Xbox,entertainment #1884,22.35,Entertainment
Various Services,payment other,991.71,Others
Steam,streaming movie,18.81,Entertainment
Best Buy,purchase accessories #2173,62.22,Shopping
Subway,restaurant takeout dinner,707.12,Food & Dining
Unknown Vendor,service general payment,924.56,Others
Netflix,movie entertainment music,24.82,Entertainment
Steam,music game,35.9,Entertainment
Local Clinic,medicine doctor health,304.49,Healthcare
Subway,lunch,713.67,Food & Dining
Target,purchase accessories shoes,210.37,Shopping
AT&T,monthly payment,680.89,Bills & Utilities
Various Services,misc other,286.38,Others
Verizon,bill,653.5,Bills & Utilities
Various Services,misc service,321.8,Others
H&M,shoes,39.5,Shopping
Whole Foods,meat produce,86.06,Groceries
Local Restaurant,takeout #5344,368.53,Food & Dining
Shell,transit taxi ride,32.31,Transportation
Various Services,misc payment service,131.81,Others
Water Service,service utility,470.86,Bills & Utilities
Miscellaneous,general other,69.22,Others
AMC Theaters,streaming music movie #8017,47.03,Entertainment
Various Services,payment service misc,245.3,Others
Uber,ride transit taxi #8958,76.78,Transportation
BP,fuel transit #4555,16.52,Transportation
Spotify,game #4638,43.09,Entertainment
Local Clinic,prescription medical health,191.75,Healthcare
Steam,music movie,37.77,Entertainment
Target,clothes purchase,194.83,Shopping
Xbox,streaming #4487,37.91,Entertainment
Chipotle,delivery,945.82,Food & Dining
Trader Joes,groceries dairy,164.3,Groceries
Amazon,clothes accessories,151.08,Shopping
Xbox,music,42.81,Entertainment
Miscellaneous,other,409.76,Others
Walgreens,medicine,329.82,Healthcare
Unknown Vendor,general misc payment #4203,278.51,Others
Kroger,dairy,157.81,Groceries
Spotify,movie,21.62,Entertainment
Various Services,service misc,66.47,Others
Uber,transit gas ride,70.73,Transportation
Various Services,misc payment,265.13,Others
Walmart,bread meat groceries,117.55,Groceries
Trader Joes,produce,67.92,Groceries
Walgreens,medical health doctor #9770,178.23,Healthcare
Various Services,misc #9655,11.57,Others
Various Services,other service,201.88,Others
Nike,accessories shoes clothes,282.5,Shopping
Walmart,bread dairy meat #9454,117.58,Groceries
Local Restaurant,restaurant,373.34,Food & Dining
Xbox,music game movie,36.1,Entertainment
Miscellaneous,payment misc service,667.31,Others
Verizon,utility payment service,677.48,Bills & Utilities
Amazon,clothes purchase,64.04,Shopping
Local Clinic,health medical,170.04,Healthcare
Electric Company,bill monthly #2564,617.12,Bills & Utilities
BP,ride fuel,52.39,Transportation
Metro,transit fuel transportation,39.6,Transportation
Trader Joes,produce meat,138.61,Groceries
Best Buy,shoes,219.59,Shopping
Unknown Vendor,general misc service,145.54,Others
Uber,gas transportation,28.27,Transportation
Walgreens,doctor #9749,441.86,Healthcare
Metro,transportation transit,33.07,Transportation
CVS,prescription health doctor,463.8,Healthcare
Walgreens,doctor health,90.55,Healthcare
Water Service,monthly service utility #2498,196.46,Bills & Utilities
Miscellaneous,payment other #8575,97.9,Others
Amazon,purchase shoes,175.61,Shopping
Walgreens,medicine doctor #2456,448.97,Healthcare
CVS,doctor prescription,185.27,Healthcare
Subway,restaurant,445.91,Food & Dining
Miscellaneous,service,427.11,Others
Steam,game,45.39,Entertainment
Local Restaurant,takeout restaurant,496.55,Food & Dining
Netflix,music,24.09,Entertainment
Whole Foods,groceries,84.56,Groceries
McDonalds,lunch,717.87,Food & Dining
Uber,gas fuel,72.21,Transportation
Walgreens,medical prescription #1104,293.24,Healthcare
Verizon,bill #5069,784.23,Bills & Utilities
Water Service,utility monthly #8185,459.51,Bills & Utilities
CVS,medicine #9868,50.61,Healthcare
Subway,takeout restaurant meal #7431,128.26,Food & Dining
Chipotle,meal takeout restaurant,407.42,Food & Dining
Spotify,music game streaming #7410,49.57,Entertainment
Lyft,transit taxi fuel #8333,35.35,Transportation
Subway,delivery,551.93,Food & Dining
Water Service,monthly,370.11,Bills & Utilities
Miscellaneous,other,83.34,Others
H&M,accessories purchase clothes,98.99,Shopping
Best Buy,accessories electronics clothes #5420,286.54,Shopping
Lyft,transit ride #6772,58.9,Transportation
Shell,gas taxi transit,8.43,Transportation
Target,clothes electronics purchase,270.8,Shopping
Walgreens,medical health prescription,250.77,Healthcare
Metro,transportation fuel #1539,6.93,Transportation
Nike,accessories electronics clothes,196.68,Shopping
AT&T,payment monthly service #6360,897.63,Bills & Utilities
Electric Company,utility service #4155,162.01,Bills & Utilities
H&M,electronics accessories purchase,100.74,Shopping
AT&T,bill,256.75,Bills & Utilities
Local Clinic,prescription medical,435.95,Healthcare
Spotify,music movie,32.48,Entertainment
Local Restaurant,lunch restaurant,247.05,Food & Dining
Trader Joes,dairy #8561,28.28,Groceries
AMC Theaters,music movie entertainment,17.39,Entertainment
Nike,shoes,249.79,Shopping
Shell,transportation fuel,46.14,Transportation
Walmart,dairy,134.85,Groceries
Local Restaurant,meal #6312,778.03,Food & Dining
Amazon,electronics shoes #8989,212.76,Shopping
Local Clinic,medical medicine health,99.88,Healthcare
Spotify,music,49.33,Entertainment
Steam,streaming #2718,39.57,Entertainment
Metro,gas,17.62,Transportation
Various Services,misc other,676.11,Others
Unknown Vendor,other #1479,400.68,Others
Walmart,dairy food,99.52,Groceries
Walmart,groceries bread,74.77,Groceries
Trader Joes,dairy meat,72.57,Groceries
Safeway,groceries dairy #7555,144.93,Groceries
Amazon,accessories,237.19,Shopping
Best Buy,electronics,150.32,Shopping
Verizon,payment,607.87,Bills & Utilities
Target,clothes electronics #6067,46.43,Shopping
Safeway,groceries bread #9758,60.57,Groceries
Target,purchase,135.51,Shopping
Local Restaurant,dinner delivery takeout,974.58,Food & Dining
Local Clinic,health medical doctor #5464,329.84,Healthcare
Uber,fuel ride,69.15,Transportation
Target,purchase clothes,180.52,Shopping
Subway,delivery takeout #3307,140.75,Food & Dining
AT&T,payment,952.3,Bills & Utilities
Safeway,produce food meat,83.47,Groceries
Unknown Vendor,service other misc,986.33,Others
Steam,movie,11.59,Entertainment
Walgreens,health medicine prescription,211.75,Healthcare
CVS,medical #3051,486.89,Healthcare
Walgreens,health prescription,377.36,Healthcare
Subway,delivery takeout restaurant,251.47,Food & Dining
Local Restaurant,delivery lunch restaurant,514.57,Food & Dining
Metro,fuel ride #9530,51.09,Transportation
Electric Company,service monthly payment #1021,642.91,Bills & Utilities
Walmart,bread dairy produce #2977,128.42,Groceries
Trader Joes,dairy produce #3977,73.82,Groceries
Metro,taxi fuel transportation,25.82,Transportation
Target,shoes,217.62,Shopping
Miscellaneous,misc payment general,57.47,Others
AT&T,utility bill,799.57,Bills & Utilities
Nike,purchase,71.55,Shopping
Miscellaneous,other misc #4257,492.38,Others
Water Service,utility,702.48,Bills & Utilities
Uber,transportation,78.16,Transportation
Uber,taxi #2538,75.23,Transportation
Steam,entertainment movie,28.3,Entertainment
Electric Company,payment utility,538.41,Bills & Utilities
Miscellaneous,service,469.45,Others
AMC Theaters,movie entertainment,14.33,Entertainment
Verizon,utility bill #2463,27.26,Bills & Utilities
Nike,clothes,60.09,Shopping
AMC Theaters,streaming music,45.37,Entertainment
McDonalds,meal #1320,994.01,Food & Dining
Lyft,ride transportation gas,44.34,Transportation
Target,shoes clothes accessories #4980,245.26,Shopping
Miscellaneous,payment service misc,390.32,Others
Various Services,misc other general #4905,585.05,Others
Electric Company,monthly,723.87,Bills & Utilities
AMC Theaters,movie,48.59,Entertainment
Safeway,produce,197.11,Groceries
Best Buy,purchase,15.09,Shopping
BP,taxi,60.42,Transportation
Various Services,payment service misc,898.32,Others
Steam,game #1189,12.87,Entertainment
